5,17,14
7,21,18
9,22,19
11,21,18
13,20,17
15,19,17
17,17,15
19,17,15
19.5,18,15
20,85,17
20.1,101,19
20.2,100,19
20.3,91,18
20.4,74,17
20.5,47,15
21,17,15
21.1,15,14
21.2,15,15
21.3,16,14
21.4,16,13
21.5,20,14
21.6,23,16
21.7,34,21
21.8,75,49
21.9,166,109
22,353,232
22.1,650,414
22.2,1059,650
22.3,1431,855
22.4,1661,979
22.5,1626,978
22.6,1342,817
22.7,935,580
22.8,561,369
22.9,291,192
23,128,91
23.1,59,46
23.2,30,25
23.3,20,16
24,17,14
25,15,13
27,14,14
29,15,13
31,13,13
33,14,13
35,14,13
37,14,14
39,14,13
41,14,12
43,16,12
43.1,23,12
43.2,30,13
43.3,41,13
43.4,54,14
43.5,61,15
43.6,62,16
43.7,58,15
43.8,50,15
43.9,43,14
44,25,13
45,16,13
47,15,13
49,16,12
49.1,27,20
49.2,52,35
49.3,89,51
49.4,149,101
49.5,241,154
49.6,327,210
49.7,381,249
49.8,389,252
49.9,335,222
50,260,166
50.1,161,111
50.2,92,62
50.3,50,35
50.4,28,23
50.5,15,16
51,15,12
52,13,12
52.5,14,12
53,14,12
55,15,12
57,15,13
59,14,12